kinopoisk_id,url,name,full_name_rus,vote_date,vote
623744,https://www.kinopoisk.ru/film/623744/,Side Effects,Побочный эффект (2013),24.02.2019,9
463803,https://www.kinopoisk.ru/film/463803/,First Man,Человек на Луне (2018),09.02.2019,5
596274,https://www.kinopoisk.ru/film/596274/,A Walk Among the Tombstones,Прогулка среди могил (2014),08.02.2019,3
4250,https://www.kinopoisk.ru/film/4250/,Four Rooms,Четыре комнаты (1995),31.01.2019,7
1224670,https://www.kinopoisk.ru/film/1224670/,Black Mirror: Bandersnatch,Черное зеркало. Бандерснэтч (2018),31.01.2019,8
1047143,https://www.kinopoisk.ru/film/1047143/,Bad Times at the El Royale,Ничего хорошего в отеле «Эль Рояль» (2018),27.01.2019,10
474935,https://www.kinopoisk.ru/film/474935/,A Star Is Born,Звезда родилась (2018),26.01.2019,5
1074393,https://www.kinopoisk.ru/film/1074393/,Kajaani,Каяани (2017),18.01.2019,8
1176661,https://www.kinopoisk.ru/film/1176661/,Voyeur,Наблюдатель (2017),18.01.2019,7
1119439,https://www.kinopoisk.ru/film/1119439/,Tiikeri,Тигр (2018),18.01.2019,4
1147293,https://www.kinopoisk.ru/film/1147293/,A Swedish Classic,Шведская классика (2017),18.01.2019,7
1124657,https://www.kinopoisk.ru/film/1124657/, ,Juck (2018),18.01.2019,2
1104535,https://www.kinopoisk.ru/film/1104535/,Fuck You,Пошел ты (2018),18.01.2019,6
841518,https://www.kinopoisk.ru/film/841518/,Teenage Mutant Ninja Turtles: Out of the Shadows,Черепашки-ниндзя 2 (2016),12.01.2019,5
918087,https://www.kinopoisk.ru/film/918087/,Swiss Army Man,Человек – швейцарский нож (2016),11.01.2019,4
885316,https://www.kinopoisk.ru/film/885316/, ,Время первых (2017),10.01.2019,4
981230,https://www.kinopoisk.ru/film/981230/, ,Тренер (2018),09.01.2019,6
1045777,https://www.kinopoisk.ru/film/1045777/, ,Непрощенный (2018),09.01.2019,3
1049775,https://www.kinopoisk.ru/film/1049775/, ,Подбросы (2018),06.01.2019,2
586584,https://www.kinopoisk.ru/film/586584/,Seven Psychopaths,Семь психопатов (2012),05.01.2019,6
975249,https://www.kinopoisk.ru/film/975249/,Daddy's Home 2,"Здравствуй, папа, Новый год! 2 (2017)",04.01.2019,7
484428,https://www.kinopoisk.ru/film/484428/,Daddy's Home,"Здравствуй, папа, Новый год! (2015)",31.12.2018,7
944098,https://www.kinopoisk.ru/film/944098/,"Three Billboards Outside Ebbing, Missouri","Три билборда на границе Эббинга, Миссури (2017)",09.12.2018,8
981105,https://www.kinopoisk.ru/film/981105/, ,Бабушка лёгкого поведения (2017),08.12.2018,4
970196,https://www.kinopoisk.ru/film/970196/,Searching,Поиск (2018),23.11.2018,7
842037,https://www.kinopoisk.ru/film/842037/, ,Я худею (2018),18.11.2018,4
582358,https://www.kinopoisk.ru/series/582358/,13 Reasons Why,"13 причин почему (сериал, 2017 – 2020)",28.10.2018,8
893681,https://www.kinopoisk.ru/film/893681/, ,Черновик (2018),21.10.2018,2
979148,https://www.kinopoisk.ru/film/979148/,Call Me by Your Name,Назови меня своим именем (2017),20.10.2018,5
518040,https://www.kinopoisk.ru/film/518040/,The Dictator,Диктатор (2012),12.10.2018,2
958293,https://www.kinopoisk.ru/film/958293/,Lady Bird,Леди Бёрд (2017),01.10.2018,10
992605,https://www.kinopoisk.ru/film/992605/, ,Аритмия (2017),16.09.2018,5
909700,https://www.kinopoisk.ru/film/909700/, ,Как Витька Чеснок вёз Лёху Штыря в дом инвалидов (2017),01.09.2018,9
961715,https://www.kinopoisk.ru/film/961715/,Deadpool 2,Дэдпул 2 (2018),26.08.2018,9
950968,https://www.kinopoisk.ru/film/950968/,Hotel Transylvania 3: Summer Vacation,Монстры на каникулах 3: Море зовёт (2018),26.07.2018,5
705356,https://www.kinopoisk.ru/film/705356/, ,Левиафан (2014),15.07.2018,8
714564,https://www.kinopoisk.ru/film/714564/,Atomic Blonde,Взрывная блондинка (2017),22.06.2018,3
470173,https://www.kinopoisk.ru/film/470173/,The Greatest Showman,Величайший шоумен (2017),18.06.2018,3
538225,https://www.kinopoisk.ru/film/538225/,Ready Player One,Первому игроку приготовиться (2018),11.06.2018,10
797840,https://www.kinopoisk.ru/film/797840/,Fantastic Beasts and Where to Find Them,Фантастические твари и где они обитают (2016),01.06.2018,8
424994,https://www.kinopoisk.ru/film/424994/,Justice League,Лига справедливости (2017),30.04.2018,9
1006132,https://www.kinopoisk.ru/film/1006132/, ,Piter By (2016),24.03.2018,8
1111871,https://www.kinopoisk.ru/film/1111871/, ,Piter by Каста (2017),23.03.2018,6
925669,https://www.kinopoisk.ru/film/925669/,Perfetti sconosciuti,Идеальные незнакомцы (2015),13.03.2018,10
977743,https://www.kinopoisk.ru/film/977743/,The Shape of Water,Форма воды (2017),10.03.2018,8
453397,https://www.kinopoisk.ru/film/453397/,It,Оно (2017),08.03.2018,6
900052,https://www.kinopoisk.ru/film/900052/, ,Лёд (2017),24.02.2018,2
884376,https://www.kinopoisk.ru/film/884376/,Manchester by the Sea,Манчестер у моря (2016),23.02.2018,8
42736,https://www.kinopoisk.ru/film/42736/, ,Офицеры (1971),23.02.2018,9
1008385,https://www.kinopoisk.ru/film/1008385/,"I, Tonya",Тоня против всех (2017),18.02.2018,10
835877,https://www.kinopoisk.ru/film/835877/,The Hitman's Bodyguard,Телохранитель киллера (2017),10.02.2018,4
840817,https://www.kinopoisk.ru/film/840817/, ,Движение вверх (2017),03.02.2018,10
906654,https://www.kinopoisk.ru/film/906654/,Kingsman: The Golden Circle,Kingsman: Золотое кольцо (2017),21.01.2018,10
930534,https://www.kinopoisk.ru/film/930534/,Split,Сплит (2017),13.01.2018,10
902939,https://www.kinopoisk.ru/film/902939/,Baby Driver,Малыш на драйве (2017),10.01.2018,10
707407,https://www.kinopoisk.ru/film/707407/, ,Викинг (2016),08.01.2018,5
471158,https://www.kinopoisk.ru/film/471158/, ,Выкрутасы (2010),08.01.2018,4
931677,https://www.kinopoisk.ru/film/931677/,Dunkirk,Дюнкерк (2017),06.01.2018,5
841263,https://www.kinopoisk.ru/film/841263/,Guardians of the Galaxy Vol. 2,Стражи Галактики. Часть 2 (2017),30.12.2017,7
840261,https://www.kinopoisk.ru/film/840261/, ,Кухня. Последняя битва (2017),02.12.2017,3
690593,https://www.kinopoisk.ru/film/690593/,Spider-Man: Homecoming,Человек-паук: Возвращение домой (2017),27.11.2017,7
184417,https://www.kinopoisk.ru/film/184417/,Saw III,Пила 3 (2006),26.11.2017,5
839818,https://www.kinopoisk.ru/film/839818/, ,Экипаж (2016),20.11.2017,5
86206,https://www.kinopoisk.ru/film/86206/,Saw II,Пила 2 (2005),07.11.2017,7
840250,https://www.kinopoisk.ru/film/840250/, ,Притяжение (2017),04.11.2017,4
762738,https://www.kinopoisk.ru/film/762738/,John Wick,Джон Уик (2014),26.10.2017,4
948999,https://www.kinopoisk.ru/film/948999/, ,Жених (2016),19.10.2017,4
