kp_id,kp_url,kp_full_name,name,vote_date,vote
638053,https://www.kinopoisk.ru/film/638053/,Охотник на лис (2014),Foxcatcher,09.06.2020,6
1005878,https://www.kinopoisk.ru/film/1005878/,Король Лев (2019),The Lion King,06.06.2020,6
484628,https://www.kinopoisk.ru/film/484628/,Тайна 7 сестер (2017),What Happened to Monday,29.05.2020,5
1174226,https://www.kinopoisk.ru/film/1174226/,21 мост (2019),21 Bridges,22.05.2020,6
959365,https://www.kinopoisk.ru/film/959365/,Невидимый гость (2016),Contratiempo,15.05.2020,9
501333,https://www.kinopoisk.ru/film/501333/,Игра на понижение (2015),The Big Short,08.05.2020,6
1070927,https://www.kinopoisk.ru/film/1070927/,Виновный (2017),Den skyldige,01.05.2020,8
980347,https://www.kinopoisk.ru/film/980347/,Дыши ради нас (2017),Breathe,24.04.2020,7
1188529,https://www.kinopoisk.ru/film/1188529/,Достать ножи (2019),Knives Out,17.04.2020,10
1356380,https://www.kinopoisk.ru/film/1356380/,Съесть слона (2020), ,14.04.2020,8
489414,https://www.kinopoisk.ru/film/489414/,Zомбилэнд: Контрольный выстрел (2019),Zombieland: Double Tap,10.04.2020,8
1143242,https://www.kinopoisk.ru/film/1143242/,Джентльмены (2019),The Gentlemen,05.04.2020,10
1134778,https://www.kinopoisk.ru/film/1134778/,Платформа (2019),El hoyo,29.03.2020,9
1047883,https://www.kinopoisk.ru/film/1047883/,Однажды в… Голливуде (2019),Once Upon a Time in...  Hollywood,20.03.2020,5
905031,https://www.kinopoisk.ru/film/905031/,Собибор (2018), ,22.02.2020,4
929027,https://www.kinopoisk.ru/film/929027/,Курск (2018),Kursk,08.02.2020,6
1171976,https://www.kinopoisk.ru/film/1171976/,1917 (2019),1917,05.02.2020,10
1115630,https://www.kinopoisk.ru/series/1115630/,"Ты (сериал, 2018 – ...)",You,01.02.2020,6
1047626,https://www.kinopoisk.ru/film/1047626/,Дождливый день в Нью-Йорке (2019),A Rainy Day in New York,05.01.2020,9
1046033,https://www.kinopoisk.ru/film/1046033/,Сторож (2019), ,04.01.2020,6
607031,https://www.kinopoisk.ru/film/607031/,Пусть идёт снег (2019),Let It Snow,02.01.2020,5
1169469,https://www.kinopoisk.ru/series/1169469/,"Невозможно поверить (мини-сериал, 2019)",Unbelievable,28.12.2019,10
686898,https://www.kinopoisk.ru/film/686898/,Оно 2 (2019),It Chapter Two,22.12.2019,3
1093170,https://www.kinopoisk.ru/film/1093170/,Черный клановец (2018),BlacKkKlansman,07.12.2019,6
1162846,https://www.kinopoisk.ru/film/1162846/,Бабушка лёгкого поведения 2. Престарелые мстители (2019), ,02.12.2019,2
